foeAgility,cunning,stability,dodging,volleyGroupID,groupSize,tApplied,dis2Last,dis2Cent,dis2Group,opacity,clicked,dodged
4,2,2,0,0,3,4,0.333474978,0.333474978,0.5160142,0.96,1,0
4,2,2,0,0,3,4,0.343921497,0.343921497,0.326376556,0.894,0,0
4,2,2,0,0,3,4,0.443593741,0.443593741,0.331673098,0.894,0,0
4,2,2,0,1,1,4,0.063528974,0.282248726,0,0.96,1,0
4,2,2,0,2,5,1,0.598737999,0.461966909,0.494148957,0.96,1,0
4,2,2,0,2,5,4,0.584613097,0.500522297,0.54179823,0.894,0,0
4,2,2,0,2,5,4,0.789712678,0.509207975,0.598973286,0.894,0,0
4,2,2,0,2,5,4,0.770098425,0.490014939,0.536260186,0.894,0,0
4,2,2,0,2,5,1,0.098782328,0.356343208,0.769628693,0.894,0,0
4,2,2,0,3,1,1,0.977166803,0.543580724,0,0.96,1,0
2,2,1,1,0,1,1,0.445484533,0.445484533,0,0.96,1,0
2,2,1,1,1,1,1,0.719918143,0.597216552,0,0.96,1,0
2,2,1,1,2,2,1,1.049116611,0.454137575,0.860217098,0.96,1,0
2,2,1,1,2,2,1,0.197823831,0.41495624,0.860217098,0.894,0,0
2,2,1,1,3,1,1,0.163336543,0.366742454,0,0.96,1,0
2,2,1,1,4,1,1,0.574020026,0.416390029,0,0.96,1,0
2,2,1,1,5,2,1,0.542677593,0.542058221,0.221234055,0.96,1,0
2,2,1,1,5,2,1,0.760775003,0.689056151,0.221234055,0.894,0,0
2,2,1,1,6,2,1,0.836685799,0.305094525,0.589902425,0.894,1,0
2,2,1,1,6,2,1,0.906379499,0.535899184,0.589902425,0.96,1,0
2,2,1,1,7,3,1,1.039223304,0.510930557,0.507824575,0.894,1,0
2,2,1,1,7,3,1,0.908831382,0.375042374,0.437237378,0.96,1,0
2,2,1,1,7,3,1,0.542389482,0.458434076,0.80189797,0.894,0,0
2,2,1,1,8,1,1,0.054225675,0.4042599,0,0.96,1,0
2,2,1,1,9,1,1,0.511058015,0.478936382,0,0.96,1,0
11,6,12,5,0,2,6,0.165415811,0.165415811,0.055915041,0.96,1,1
11,6,12,5,0,2,9,0.175312012,0.175312012,0.055915041,0.842,0,0
11,6,12,5,1,6,6,0.348996674,0.191842213,0.234511271,0.96,1,1
11,6,12,5,1,6,11,0.235619748,0.169276596,0.151188686,0.842,0,0
11,6,12,5,1,6,9,0.266890507,0.169253106,0.139006358,0.842,0,0
11,6,12,5,1,6,9,0.273068828,0.152805897,0.137215014,0.842,0,0
11,6,12,5,1,6,9,0.229827596,0.169496524,0.156493779,0.842,0,0
11,6,12,5,1,6,11,0.38278242,0.22080766,0.238564927,0.842,0,0
11,6,12,5,2,2,9,0.045193926,0.211383704,0.014811359,0.96,1,0
11,6,12,5,2,2,9,0.030871439,0.201489282,0.014811359,0.842,0,0
11,6,12,5,3,2,9,0.071101245,0.155041164,0.3342915,0.96,1,1
11,6,12,5,3,2,11,0.392297609,0.1809791,0.3342915,0.842,0,0
11,6,12,5,4,1,11,0.276575201,0.122163905,0,0.96,1,1
11,6,12,5,5,1,11,0.321389375,0.199442322,0,0.96,1,0
11,6,12,5,6,1,9,0.013621321,0.212901271,0,0.96,1,1
11,6,12,5,7,1,9,0.237749551,0.213150143,0,0.96,1,1
11,6,12,5,8,1,9,0.252948011,0.133886522,0,0.96,1,1
11,6,12,5,9,1,11,0.188131279,0.167660047,0,0.96,1,0
6,1,0,0,0,1,6,0.649172568,0.649172568,0,0.96,1,0
6,1,0,0,1,1,9,1.139199413,0.492142161,0,0.96,1,0
6,1,0,0,2,1,2,0.254330733,0.320713175,0,0.96,1,0
6,1,0,0,3,1,6,0.523885125,0.362807797,0,0.96,1,0
6,1,0,0,4,5,9,0.618450136,0.44962988,0.777438344,0.907,0,0
6,1,0,0,4,5,9,0.907033511,0.547469237,0.772454753,0.907,0,0
6,1,0,0,4,5,9,0.686614597,0.55122935,0.709056075,0.907,0,0
6,1,0,0,4,5,9,0.203623672,0.507983186,0.857114686,0.907,0,0
6,1,0,0,4,5,6,0.703738709,0.493078285,0.658187148,0.96,0,0
6,1,0,0,4,5,9,0.618450136,0.44962988,0.777438344,0.907,0,0
6,1,0,0,4,5,9,0.907033511,0.547469237,0.772454753,0.907,0,0
6,1,0,0,4,5,9,0.686614597,0.55122935,0.709056075,0.907,0,0
6,1,0,0,4,5,9,0.203623672,0.507983186,0.857114686,0.907,0,0
6,1,0,0,5,6,4,1.131228103,0.659954055,0.681649066,0.907,1,0
6,1,0,0,5,6,6,0.713838277,0.700278978,0.707010457,0.907,0,0
6,1,0,0,5,6,8,0.439246598,0.432457419,0.648517139,0.907,0,0
6,1,0,0,5,6,6,0.736812993,0.61408587,0.623674735,0.907,0,0
6,1,0,0,5,6,8,0.832154913,0.487179476,0.947526362,0.907,0,0
6,1,0,0,5,6,6,1.123975611,0.645112893,0.686049616,0.96,0,0
6,1,0,0,5,6,6,0.713838277,0.700278978,0.707010457,0.907,0,0
6,1,0,0,5,6,8,0.439246598,0.432457419,0.648517139,0.907,0,0
6,1,0,0,5,6,6,0.736812993,0.61408587,0.623674735,0.907,0,0
6,1,0,0,5,6,8,0.832154913,0.487179476,0.947526362,0.907,0,0
6,1,0,0,6,2,6,0.678463298,0.421199684,0.17593247,0.96,1,0
6,1,0,0,6,2,8,0.853812715,0.503096184,0.17593247,0.907,0,0
6,1,0,0,7,1,8,0.870002347,0.46872952,0,0.96,1,0
0,5,3,0,0,1,1,0.548552692,0.548552692,0,0.96,1,0
0,5,3,0,1,1,1,0.57650455,0.343760279,0,0.96,1,0
9,5,8,4,0,5,8,0.240190622,0.240190622,0.47112107,0.855,1,1
9,5,8,4,0,5,11,0.338074794,0.338074794,0.398462288,0.855,0,0
9,5,8,4,0,5,6,0.271942359,0.271942359,0.450870735,0.855,0,0
9,5,8,4,0,5,9,0.321460588,0.321460588,0.498787316,0.855,0,0
9,5,8,4,0,5,11,0.348316027,0.348316027,0.40563882,0.96,0,0
9,5,8,4,0,5,11,0.338074794,0.338074794,0.398462288,0.855,0,0
9,5,8,4,0,5,6,0.271942359,0.271942359,0.450870735,0.855,0,0
9,5,8,4,0,5,9,0.321460588,0.321460588,0.498787316,0.855,0,0
9,5,8,4,1,2,6,0.535627985,0.187584878,0.15402638,0.855,0,0
9,5,8,4,1,2,11,0.682716782,0.337866154,0.15402638,0.96,0,0
9,5,8,4,1,2,6,0.535627985,0.187584878,0.15402638,0.855,0,0
9,5,8,4,2,1,9,0.523605727,0.360308938,0,0.96,0,0
9,5,8,4,3,6,8,0.438571831,0.180280648,0.276736148,0.855,0,0
9,5,8,4,3,6,9,0.095692399,0.266930496,0.422284963,0.855,0,0
9,5,8,4,3,6,9,0.496709376,0.388159273,0.541536624,0.855,0,0
9,5,8,4,3,6,9,0.486401005,0.241028606,0.297681764,0.855,0,0
9,5,8,4,3,6,9,0.473627014,0.271956803,0.320918825,0.855,0,0
9,5,8,4,3,6,11,0.585902168,0.230000477,0.38372641,0.96,0,0
9,5,8,4,3,6,8,0.438571831,0.180280648,0.276736148,0.855,0,0
9,5,8,4,3,6,9,0.095692399,0.266930496,0.422284963,0.855,0,0
9,5,8,4,3,6,9,0.496709376,0.388159273,0.541536624,0.855,0,0
9,5,8,4,3,6,9,0.486401005,0.241028606,0.297681764,0.855,0,0
9,5,8,4,3,6,9,0.473627014,0.271956803,0.320918825,0.855,0,0
9,5,8,4,4,3,9,0.090678807,0.319925438,0.356866159,0.96,1,0
9,5,8,4,4,3,6,0.099927379,0.315731196,0.358402803,0.855,0,0
9,5,8,4,4,3,4,0.576305757,0.357913959,0.668155269,0.855,0,0
3,2,1,1,0,2,4,0.568914799,0.568914799,0.998415049,0.96,1,0
3,2,1,1,0,2,6,0.430694363,0.430694363,0.998415049,0.894,0,0
3,2,1,1,1,3,2,0.986856807,0.438645559,0.461212576,0.894,0,0
3,2,1,1,1,3,6,0.824161736,0.56154699,0.782876105,0.894,0,0
3,2,1,1,1,3,4,0.993179708,0.428124302,0.422445749,0.96,0,0
3,2,1,1,1,3,2,0.986856807,0.438645559,0.461212576,0.894,0,0
3,2,1,1,1,3,6,0.824161736,0.56154699,0.782876105,0.894,0,0
10,4,2,2,0,3,1,0.471687767,0.471687767,0.480617323,0.868,1,1
10,4,2,2,0,3,1,0.456604565,0.456604565,0.474359085,0.96,1,1
10,4,2,2,0,3,4,0.467153902,0.467153902,0.926362243,0.868,0,0
10,4,2,2,0,3,1,0.471687767,0.471687767,0.480617323,0.868,1,1
10,4,2,2,1,1,4,0.732795747,0.552050101,0,0.96,1,0
10,4,2,2,2,2,4,0.79006644,0.473882601,0.083721596,0.868,1,0
10,4,2,2,2,2,4,0.748263134,0.496407319,0.083721596,0.96,1,0
10,4,2,2,3,2,2,0.739476603,0.429370219,0.193534096,0.868,1,0
10,4,2,2,3,2,4,0.71417278,0.540913014,0.193534096,0.96,1,0
10,4,2,2,4,1,4,1.012236655,0.473183282,0,0.96,1,0
10,4,2,2,5,1,4,0.818447469,0.345317252,0,0.96,1,0
10,4,2,2,6,1,4,0.092406551,0.343675114,0,0.96,1,0
7,2,0,0,0,5,6,0.56247949,0.56247949,0.768165034,0.96,1,0
7,2,0,0,0,5,6,0.459310916,0.459310916,0.69743768,0.894,0,0
7,2,0,0,0,5,4,0.501797784,0.501797784,0.772259674,0.894,0,0
7,2,0,0,0,5,6,0.473180276,0.473180276,0.725719646,0.894,0,0
7,2,0,0,0,5,6,0.59453072,0.59453072,0.829004178,0.894,0,0
7,2,0,0,1,4,2,0.638912548,0.515843588,0.904389665,0.894,1,0
7,2,0,0,1,4,6,0.847270525,0.472609694,0.637368114,0.894,0,0
7,2,0,0,1,4,4,0.115398646,0.461131796,0.697102239,0.894,0,0
7,2,0,0,1,4,6,0.845659345,0.595839151,0.677495968,0.96,0,0
7,2,0,0,1,4,6,0.847270525,0.472609694,0.637368114,0.894,0,0
7,2,0,0,1,4,4,0.115398646,0.461131796,0.697102239,0.894,0,0
7,2,0,0,2,3,6,0.774283483,0.417063312,0.468056756,0.894,1,0
7,2,0,0,2,3,4,0.210152493,0.449288157,0.812910238,0.894,0,0
7,2,0,0,2,3,6,0.902941545,0.621567303,0.550496157,0.96,0,0
7,2,0,0,2,3,4,0.210152493,0.449288157,0.812910238,0.894,0,0
9,0,1,0,0,10,6,0.532536018,0.532536018,0.475000425,0.92,1,0
9,0,1,0,0,10,9,0.609824707,0.609824707,0.521044299,0.92,0,0
9,0,1,0,0,10,11,0.586713385,0.586713385,0.51612029,0.92,0,0
9,0,1,0,0,10,11,0.533195272,0.533195272,0.476209481,0.92,0,0
9,0,1,0,0,10,11,0.385084765,0.385084765,0.618139849,0.92,0,0
9,0,1,0,0,10,11,0.520906015,0.520906015,0.816277027,0.92,0,0
9,0,1,0,0,10,9,0.341372651,0.341372651,0.578538138,0.92,0,0
9,0,1,0,0,10,9,0.584077071,0.584077071,0.948996366,0.92,0,0
9,0,1,0,0,10,11,0.519236354,0.519236354,0.472958689,0.92,0,0
9,0,1,0,0,10,11,0.49953343,0.49953343,0.651998089,0.96,0,0
9,0,1,0,0,10,9,0.609824707,0.609824707,0.521044299,0.92,0,0
9,0,1,0,0,10,11,0.586713385,0.586713385,0.51612029,0.92,0,0
9,0,1,0,0,10,11,0.533195272,0.533195272,0.476209481,0.92,0,0
9,0,1,0,0,10,11,0.385084765,0.385084765,0.618139849,0.92,0,0
9,0,1,0,0,10,11,0.520906015,0.520906015,0.816277027,0.92,0,0
9,0,1,0,0,10,9,0.341372651,0.341372651,0.578538138,0.92,0,0
9,0,1,0,0,10,9,0.584077071,0.584077071,0.948996366,0.92,0,0
9,0,1,0,0,10,11,0.519236354,0.519236354,0.472958689,0.92,0,0
9,0,1,0,1,4,8,0.014971127,0.504965369,0.650152377,0.92,0,0
9,0,1,0,1,4,6,0.150321962,0.441055394,0.605106586,0.92,0,0
9,0,1,0,1,4,9,0.973250538,0.476945769,0.686456019,0.92,0,0
9,0,1,0,1,4,11,0.82385062,0.324330985,0.583615345,0.96,0,0
9,0,1,0,1,4,8,0.014971127,0.504965369,0.650152377,0.92,0,0
9,0,1,0,1,4,6,0.150321962,0.441055394,0.605106586,0.92,0,0
9,0,1,0,1,4,9,0.973250538,0.476945769,0.686456019,0.92,0,0
9,0,1,0,2,2,11,0.754179314,0.643797181,1.132571521,0.96,1,0
9,0,1,0,2,2,11,0.518992604,0.490983912,1.132571521,0.92,0,0
9,0,1,0,3,1,9,0.115100757,0.536746212,0,0.96,1,0
4,11,12,4,0,4,6,0.223764003,0.223764003,0.34862834,0.96,1,1
4,11,12,4,0,4,4,0.195580363,0.195580363,0.256340901,0.777,0,0
4,11,12,4,0,4,8,0.126933847,0.126933847,0.198757223,0.777,0,0
4,11,12,4,0,4,8,0.155691069,0.155691069,0.215621876,0.777,0,0
4,11,12,4,1,1,8,0.052837539,0.244797335,0,0.96,1,1
4,11,12,4,2,2,6,0.278655135,0.186768901,0.057216285,0.96,1,1
4,11,12,4,2,2,8,0.327587973,0.191691772,0.057216285,0.777,0,0
4,11,12,4,3,1,8,0.041261497,0.148650978,0,0.96,1,1
4,11,12,4,4,3,4,0.02990475,0.129998864,0.155550909,0.96,1,1
4,11,12,4,4,3,6,0.215426641,0.090144294,0.206677949,0.777,0,0
4,11,12,4,4,3,6,0.081179977,0.173580241,0.157021129,0.777,0,0
4,11,12,4,5,3,6,0.081242937,0.205329738,0.280832241,0.777,1,1
4,11,12,4,5,3,8,0.210225195,0.219506132,0.321792829,0.96,1,0
4,11,12,4,5,3,8,0.243295193,0.153587025,0.331558266,0.777,0,0
4,11,12,4,6,1,4,0.249913236,0.161346831,0,0.96,1,1
2,5,2,2,0,4,0,0.308231328,0.308231328,0.473568181,0.855,1,1
2,5,2,2,0,4,0,0.53329209,0.53329209,0.778444686,0.855,1,0
2,5,2,2,0,4,0,0.479782462,0.479782462,0.775097566,0.96,1,0
2,5,2,2,0,4,0,0.430764763,0.430764763,0.523401805,0.855,0,0
2,5,2,2,1,2,0,0.603022407,0.536433889,0.563187876,0.96,1,0
2,5,2,2,1,2,0,0.042995363,0.44607041,0.563187876,0.855,0,0
3,1,0,0,0,1,1,0.501575213,0.501575213,0,0.96,1,0
3,1,0,0,1,6,0,0.967570424,0.492212146,0.690566413,0.96,1,0
3,1,0,0,1,6,1,0.236434661,0.700944813,0.985051859,0.907,0,0
3,1,0,0,1,6,0,0.940572138,0.446932637,0.71188924,0.907,0,0
3,1,0,0,1,6,1,0.630425157,0.631554187,0.54144332,0.907,0,0
3,1,0,0,1,6,1,0.722547545,0.573314721,0.528800255,0.907,0,0
3,1,0,0,1,6,0,0.573368744,0.588630058,0.52962555,0.907,0,0
5,12,15,6,0,2,6,0.04759806,0.04759806,0.108423999,0.96,1,1
5,12,15,6,0,2,8,0.093916334,0.093916334,0.108423999,0.764,0,0
5,12,15,6,1,8,2,0.131666464,0.092193999,0.179096562,0.96,1,1
5,12,15,6,1,8,8,0.117056335,0.118342897,0.075684961,0.764,0,0
5,12,15,6,1,8,8,0.014616178,0.060556775,0.121020483,0.764,0,0
5,12,15,6,1,8,8,0.111994332,0.116299043,0.073981064,0.764,0,0
5,12,15,6,1,8,8,0.100015961,0.106084334,0.073354763,0.764,0,0
5,12,15,6,1,8,6,0.176625444,0.137101342,0.14434439,0.764,0,0
5,12,15,6,1,8,8,0.110715596,0.116115736,0.074558802,0.764,0,0
5,12,15,6,1,8,8,0.096616986,0.083607017,0.076654931,0.764,0,0
5,12,15,6,2,1,6,0.124191052,0.039572715,0,0.96,1,1
5,12,15,6,3,2,2,0.146664998,0.140835347,0.144051007,0.96,1,1
5,12,15,6,3,2,8,0.141193408,0.103186981,0.144051007,0.764,0,0
5,12,15,6,4,2,8,0.172738666,0.078044358,0.153468489,0.96,1,1
5,12,15,6,4,2,2,0.02013792,0.126662498,0.153468489,0.764,0,0
5,12,15,6,5,1,6,0.135479438,0.116367176,0,0.96,1,1
5,12,15,6,6,2,8,0.153321708,0.071274578,0.015866426,0.764,1,1
5,12,15,6,6,2,4,0.137578546,0.063078667,0.015866426,0.96,1,1
5,12,15,6,6,2,8,0.153321708,0.071274578,0.015866426,0.764,1,1
5,12,15,6,7,1,4,0.033734426,0.05964104,0,0.96,1,1
3,1,0,0,0,4,1,0.420002209,0.420002209,0.504004297,0.96,1,0
3,1,0,0,0,4,2,0.544628889,0.544628889,0.504685276,0.907,0,0
3,1,0,0,0,4,1,0.61566163,0.61566163,0.588132649,0.907,0,0
3,1,0,0,0,4,1,0.486802404,0.486802404,0.614049144,0.907,0,0
3,1,0,0,1,2,1,0.752316282,0.542633512,0.059903391,0.96,1,0
3,1,0,0,1,2,1,0.716297672,0.486051211,0.059903391,0.907,0,0
5,6,8,2,0,3,1,0.33658589,0.33658589,0.539603749,0.96,1,1
5,6,8,2,0,3,6,0.310760416,0.310760416,0.550352701,0.842,0,0
5,6,8,2,0,3,1,0.329832006,0.329832006,0.444324616,0.842,0,0
5,6,8,2,1,3,6,0.134451407,0.211215337,0.356089982,0.96,1,0
5,6,8,2,1,3,4,0.671150612,0.336001538,0.626945346,0.842,0,0
5,6,8,2,1,3,6,0.037884138,0.371552343,0.435991607,0.842,0,0
2,9,4,2,0,2,0,0.518879787,0.518879787,0.604053852,0.96,1,0
2,9,4,2,0,2,1,0.456525757,0.456525757,0.604053852,0.803,0,0
2,9,4,2,1,1,2,0.895290288,0.377942829,0,0.96,1,0
2,9,4,2,2,2,1,0.666855678,0.456160122,0.746397357,0.803,1,1
2,9,4,2,2,2,2,0.432220494,0.290947025,0.746397357,0.96,1,0
2,9,4,2,3,1,0,0.458608159,0.357625891,0,0.96,1,1
2,9,4,2,4,1,1,0.515902672,0.383243316,0,0.96,1,1
11,0,1,0,0,1,9,0.556614466,0.556614466,0,0.96,1,0
11,0,1,0,1,1,9,1.219192202,0.664916971,0,0.96,0,0
11,0,1,0,2,4,11,0.722903872,0.549643853,0.677055243,0.92,0,0
11,0,1,0,2,4,11,0.907597322,0.568635169,0.639293276,0.92,0,0
11,0,1,0,2,4,11,1.232620586,0.57027692,0.773946015,0.92,0,0
11,0,1,0,2,4,11,0.790146315,0.417408257,0.895424464,0.96,0,0
11,0,1,0,2,4,11,0.722903872,0.549643853,0.677055243,0.92,0,0
11,0,1,0,2,4,11,0.907597322,0.568635169,0.639293276,0.92,0,0
11,0,1,0,2,4,11,1.232620586,0.57027692,0.773946015,0.92,0,0
11,0,1,0,3,3,11,0.687455331,0.566329055,0.462483396,0.92,0,0
11,0,1,0,3,3,11,0.618237971,0.48605566,0.433650024,0.92,0,0
11,0,1,0,3,3,11,0.233746897,0.651149848,0.815005341,0.96,0,0
11,0,1,0,3,3,11,0.687455331,0.566329055,0.462483396,0.92,0,0
11,0,1,0,3,3,11,0.618237971,0.48605566,0.433650024,0.92,0,0
11,0,1,0,4,5,11,0.671494956,0.461025565,0.595382844,0.92,1,0
11,0,1,0,4,5,9,1.069955555,0.419125294,0.424509794,0.92,0,0
11,0,1,0,4,5,9,0.992219064,0.34107373,0.408684246,0.92,0,0
11,0,1,0,4,5,11,1.118535484,0.482295297,0.530767922,0.92,0,0
11,0,1,0,4,5,11,0.852137145,0.598601157,0.634252206,0.96,0,0
11,0,1,0,4,5,9,1.069955555,0.419125294,0.424509794,0.92,0,0
11,0,1,0,4,5,9,0.992219064,0.34107373,0.408684246,0.92,0,0
11,0,1,0,4,5,11,1.118535484,0.482295297,0.530767922,0.92,0,0
11,0,1,0,5,4,9,0.812856417,0.522650039,0.950250473,0.92,1,0
11,0,1,0,5,4,11,0.777616809,0.595928806,0.68963662,0.92,0,0
11,0,1,0,5,4,9,0.12122041,0.572668419,0.787700885,0.92,0,0
11,0,1,0,5,4,9,0.747347547,0.498356421,0.643200041,0.96,0,0
11,0,1,0,5,4,11,0.777616809,0.595928806,0.68963662,0.92,0,0
11,0,1,0,5,4,9,0.12122041,0.572668419,0.787700885,0.92,0,0
4,15,3,3,0,4,4,0.520169384,0.520169384,0.699929914,0.725,1,0
4,15,3,3,0,4,6,0.55227742,0.55227742,0.724640285,0.96,1,0
4,15,3,3,0,4,4,0.519052389,0.519052389,0.725989308,0.725,0,0
4,15,3,3,0,4,4,0.520169384,0.520169384,0.699929914,0.725,1,0
4,15,3,3,0,4,6,0.495656415,0.495656415,0.716259295,0.725,0,0
4,15,3,3,1,1,4,0.965132486,0.423126919,0,0.96,1,1
4,15,3,3,2,1,6,0.764468437,0.545386605,0,0.96,1,1
4,15,3,3,3,2,1,0.689669497,0.439131733,0.824975738,0.96,1,1
4,15,3,3,3,2,6,0.661652736,0.386114732,0.824975738,0.725,0,0
5,2,3,1,0,2,1,0.420535001,0.420535001,0.741778565,0.96,1,0
5,2,3,1,0,2,2,0.49120475,0.49120475,0.741778565,0.894,0,0
5,2,3,1,1,2,1,1.045556198,0.630499689,1.063820533,0.894,1,0
5,2,3,1,1,2,2,0.143969404,0.435420457,1.063820533,0.96,1,0
5,2,3,1,2,2,2,0.148325454,0.400647802,0.825537513,0.96,1,0
5,2,3,1,2,2,1,0.852273028,0.425337562,0.825537513,0.894,0,0
5,2,3,1,3,3,1,0.694853906,0.41691731,0.498480368,0.96,1,0
5,2,3,1,3,3,1,0.588385624,0.397369104,0.789484607,0.894,0,0
5,2,3,1,3,3,2,0.545441072,0.397706146,0.504027902,0.894,0,0
5,2,3,1,4,1,2,0.123292565,0.399101424,0,0.96,1,0
2,3,1,0,0,2,0,0.532544763,0.532544763,0.142051267,0.881,1,0
2,3,1,0,0,2,0,0.498941935,0.498941935,0.142051267,0.96,1,0
2,3,1,0,1,2,0,0.626298517,0.403515409,0.846185771,0.96,1,0
2,3,1,0,1,2,0,0.647527677,0.443922085,0.846185771,0.881,0,0
15,0,1,0,0,3,4,0.557077251,0.557077251,0.429471265,0.96,1,0
15,0,1,0,0,3,4,0.489699449,0.489699449,0.3689045,0.92,0,0
15,0,1,0,0,3,4,0.514572617,0.514572617,0.676180773,0.92,0,0
15,0,1,0,1,5,4,0.851261534,0.62017737,0.74370168,0.92,0,0
15,0,1,0,1,5,4,1.165371781,0.612225569,0.701257662,0.92,0,0
15,0,1,0,1,5,4,0.688925593,0.318317212,0.569672436,0.92,0,0
15,0,1,0,1,5,2,1.058230448,0.509700612,0.647219382,0.92,0,0
15,0,1,0,1,5,4,0.112697781,0.484911918,0.895559882,0.96,0,0
15,0,1,0,1,5,4,0.851261534,0.62017737,0.74370168,0.92,0,0
15,0,1,0,1,5,4,1.165371781,0.612225569,0.701257662,0.92,0,0
15,0,1,0,1,5,4,0.688925593,0.318317212,0.569672436,0.92,0,0
15,0,1,0,1,5,2,1.058230448,0.509700612,0.647219382,0.92,0,0
0,9,3,3,0,1,0,0.52023351,0.52023351,0,0.96,1,1
0,9,3,3,1,1,0,0.024556976,0.541683951,0,0.96,1,0
1,7,7,3,0,1,0,0.346362978,0.346362978,0,0.96,1,1
1,7,7,3,1,1,0,0.418639542,0.165453211,0,0.96,1,1
4,4,3,2,0,3,2,0.478268647,0.478268647,0.874859732,0.868,1,0
4,4,3,2,0,3,1,0.482849766,0.482849766,0.742623511,0.868,1,0
4,4,3,2,0,3,1,0.481208019,0.481208019,0.806552349,0.96,0,0
4,4,3,2,1,3,1,0.619061363,0.387237752,0.417189883,0.868,1,0
4,4,3,2,1,3,2,0.728909711,0.387704719,0.3732957,0.96,1,0
4,4,3,2,1,3,2,0.828238534,0.383117834,0.633710721,0.868,0,0
4,4,3,2,2,2,2,0.188720569,0.546321797,0.109371599,0.868,1,0
4,4,3,2,2,2,1,0.218676362,0.50679824,0.109371599,0.96,1,0
4,4,3,2,3,3,2,0.188087779,0.323976235,0.052258554,0.96,1,0
4,4,3,2,3,3,1,0.216431207,0.310583949,0.031907972,0.868,0,0
4,4,3,2,3,3,1,0.232171429,0.30797903,0.043354954,0.868,0,0
15,3,15,5,0,2,4,0.106488142,0.106488142,0.103293068,0.881,1,1
15,3,15,5,0,2,4,0.124183236,0.124183236,0.103293068,0.96,1,0
15,3,15,5,1,1,6,0.144138038,0.114908248,0,0.96,1,1
15,3,15,5,2,2,9,0.132473656,0.051028651,0.153133196,0.881,1,1
15,3,15,5,2,2,9,0.126037326,0.10272489,0.153133196,0.96,1,0
15,3,15,5,3,1,11,0.004960049,0.098115394,0,0.96,1,0
15,3,15,5,4,1,11,0.159887664,0.061951739,0,0.96,1,0
15,3,15,5,5,2,8,0.101764509,0.07816483,0.183096562,0.881,1,1
15,3,15,5,5,2,4,0.128556865,0.105516254,0.183096562,0.96,1,0
15,3,15,5,6,2,6,0.156885309,0.066906207,0.092102983,0.881,1,0
15,3,15,5,7,1,6,0.027579925,0.138588384,0,0.96,1,1
15,3,15,5,6,2,11,0.129889675,0.111020039,0.092102983,0.96,0,0
15,3,15,5,8,3,6,0.148311155,0.107113712,0.122394465,0.96,1,0
15,3,15,5,8,3,4,0.177616944,0.039188421,0.06775865,0.881,0,0
15,3,15,5,8,3,6,0.190779267,0.05298744,0.069191388,0.881,0,0
15,3,15,5,9,1,8,0.143525356,0.139815393,0,0.96,1,0
15,3,15,5,10,1,6,0.142519055,0.092770243,0,0.96,1,0
15,3,15,5,11,3,4,0.130955897,0.057899566,0.02814732,0.96,1,1
